name: suchi	comment: ATNDer(仕事の都合で直前にキャンセルの可能性があります)	status: 参加	lt: 希望しない	places: 鴨江別館 / コワーキングスペース・アズ / 浜松市協働センター / Hi-Cube	newplace: 	movies: 1)ミツコ感覚 2)サウダージ 3)ポテチ/鍵泥棒のメソッド	popular: 	open: 公開してよい	date: 2013/02/24 10:55
name: mackato	comment: 準備する時間が取れたら、LTでるびもの紹介をします	status: 参加	lt: 希望する	places: 他に良い場所を知っている	newplace: 鍵の受渡しが出来ればスマホ道場も使えそうです。	movies: 1. ダークナイト ライジング 2. ドライブ 3. ヘッドハンター	popular: http://www.geckoboard.com/	open: 公開してよい	date: 2013/02/24 13:20
name: Langur	comment: 2周年おめでとうございますm(_ _)m	status: 参加	lt: 希望する	places: 他に良い場所を知っている / 鴨江別館 / コワーキングスペース・アズ / 浜松市協働センター / Hi-Cube	newplace: クリエート浜松	movies: 	popular: https://groups.google.com/d/forum/japanese-raspberry-pi-users-group	open: 公開してよい	date: 2013/02/24 17:07
name: risgk	comment: 参加します。よろしくお願いします。	status: 参加	lt: 希望しない	places: 特に希望はない	newplace: 	movies: 映画見ていません...	popular: http://makezine.jp/	open: 公開してよい	date: 2013/02/24 19:51
name: DoneMitsu	comment: 今度こそは…宜しくお願いします。	status: 参加	lt: 希望しない	places: 鴨江別館	newplace: 	movies: 『私の奴隷になりなさい。』	popular: http://ameblo.jp/sizuka-ryu/	open: 公開してよい	date: 2013/02/25 16:44
name: yuto	comment: こういうアイスブレーク的アンケートいいですね！！	status: 参加	lt: 希望しない	places: 他に良い場所を知っている / 鴨江別館 / 浜松市協働センター	newplace: 勉強会を企画する際に、浜松駅周辺の貸し会議室のある場所をまとめたマップを以前作ったことがあります。市の施設しか載せてないですが。 https://maps.google.com/maps/ms?msid=210752875341098779598.0004c7e272e4037cc0dc4&msa=0&ll=34.709057,137.730532&spn=0.021379,0.044675	movies: ・「桐島、部活やめるってよ」（実際観たのはつい昨日ですが） ・「エヴァンゲリオンQ」 ・「裏切りのサーカス」 	popular: http://nori510.com/	open: 公開してよい	date: 2013/02/25 23:02
name: yowasou	comment: よろしくお願いします。	status: 参加	lt: 希望しない	places: Hi-Cube	newplace: 	movies: 	popular: http://haru.fm/	open: 公開してよい	date: 2013/03/01 21:41
name: arfyasu	comment: 参加しまーす！	status: 参加	lt: 希望しない	places: コワーキングスペース・アズ	newplace: 	movies: 見に行ってないですけど、エヴァQは見たかったです。	popular: http://playcast.jp/plans	open: 公開してよい	date: 2013/03/07 12:55
name: hsshkmn	comment: よろしくお願いします．	status: 参加	lt: 希望しない	places: 特に希望はない	newplace: 	movies: 2012年は「ダークナイト ライジング」と「おおかみこどもの雨と雪」だけしか見ていませんのでベスト2までしか選べません．． ちなみにノーランの3部作の中ではダークナイトが一番好きです．あとテルマエ・ロマエまだ見てないので見たいです．	popular: http://	open: 公開してよい	date: 2013/03/11 10:27
name: ktachibana	comment: 参加します！	status: 参加	lt: 希望しない	places: 特に希望はない	newplace: 	movies: 	popular: http://	open: 公開してよい	date: 2013/03/12 18:12
name: s.chuui	comment: rb初心者ですがまたまたお邪魔させていただきます！	status: 参加	lt: 希望しない	places: 	newplace: 	movies: はやぶさの映画	popular: http://	open: 公開してよい	date: 2013/03/13 09:08
name: oh_no	comment: 初参加します。Rubyできません。顔見知りの方よろしくです。	status: 参加	lt: 希望しない	places: Hi-Cube	newplace: 	movies: 映画見ません	popular: http://www.aoky.net/	open: 公開してよい	date: 2013/03/13 14:33
